label_id,label
10001,cloud_user_impersonation
10002,comprimised_image_count_in_containers
10003,configmap_config_update_activity
10004,configmap_corefile_update
10005,connectivity_jitter_container_scope
10006,connectivity_jitter_kubelet_scope
10007,connectivity_latency_container_scope
10008,connectivity_latency_kubelet_scope
10009,container_network_activity_with_request_errors
10010,container_network_activity_with_request_errors_for_known_vulnerabilities
10011,create_or_mount_activity_in_preconfigured_netspaces
10012,cross_container_or_namespace_activity
10013,k8s_dashboard_activity
10014,mutatingadmissionwebhook_activity
10015,network_config_update_activity
10016,noncontroller_pod+_create_activity
10017,pod+_config_with_credentials
10018,pod+_with_writable_volume_mounts_activity
10019,pod_bash_container_create_activity
10020,pod_exec_request_activity
10021,priviledged_container_activity
10022,privilege_escalation
10023,profiled_audit_logging_activity
10024,rbac_config_update_activity
10025,rbac_profiled_cronjob_activity
10026,rbac_profiled_pod+_create_activity
10027,resource_and_data_destruction
10028,same_name_or_similar_pod_creation_activity
10029,sensitive_interfaces_exposed
10030,sidecar_injection_activity
10031,ssh_port_exposure_activity
10032,writable_mount_to_k8s_log_location
